Time	sum(Output total – Blocks (BTC)) – Bitcoin
03.01.2009	5000000000
09.01.2009	70000000000
10.01.2009	305000000000
11.01.2009	465000000000
12.01.2009	487900000000
13.01.2009	615000000000
14.01.2009	651100000000
15.01.2009	680000000000
16.01.2009	560000000000
17.01.2009	545000000000
18.01.2009	550000000000
19.01.2009	652500000000
20.01.2009	610000000000
21.01.2009	520000000000
22.01.2009	505000000000
23.01.2009	465000000000
24.01.2009	1055000000000
25.01.2009	960000000000
26.01.2009	580000000000
27.01.2009	500000000000
28.01.2009	560000000000
29.01.2009	665000000000
30.01.2009	585000000000
31.01.2009	790000000000
01.02.2009	575000000000
02.02.2009	645000000000
03.02.2009	768652000000
04.02.2009	595000000000
05.02.2009	630000000000
06.02.2009	610000000000
07.02.2009	764800000000
08.02.2009	760000000000
09.02.2009	890000000000
10.02.2009	600000000000
11.02.2009	720004000000
12.02.2009	595000000000
13.02.2009	620000000000
14.02.2009	680000000000
15.02.2009	730000000000
16.02.2009	760000000000
17.02.2009	585000000000
18.02.2009	590000000000
19.02.2009	700000000000
20.02.2009	610000000000
21.02.2009	570000000000
22.02.2009	710000000000
23.02.2009	540000000000
24.02.2009	530000000000
25.02.2009	525000000000
26.02.2009	535000000000
27.02.2009	755000000000
28.02.2009	530000000000
01.03.2009	525000000000
02.03.2009	540000000000
03.03.2009	565000000000
04.03.2009	645000000000
05.03.2009	600000000000
06.03.2009	585000000000
07.03.2009	545000000000
08.03.2009	730000000000
09.03.2009	540000000000
10.03.2009	535000000000
11.03.2009	570000000000
12.03.2009	605000000000
13.03.2009	640000000000
14.03.2009	550000000000
15.03.2009	615000000000
16.03.2009	845000000000
17.03.2009	570000000000
18.03.2009	640000000000
19.03.2009	610000000000
20.03.2009	650000000000
21.03.2009	250000000000
22.03.2009	650000000000
23.03.2009	650000000000
24.03.2009	525000000000
25.03.2009	585000000000
26.03.2009	725000000000
27.03.2009	530000000000
28.03.2009	695000000000
29.03.2009	580000000000
30.03.2009	600000000000
31.03.2009	710000000000
01.04.2009	570000000000
02.04.2009	575000000000
03.04.2009	580000000000
04.04.2009	565000000000
05.04.2009	735000000000
06.04.2009	545000000000
07.04.2009	500000000000
08.04.2009	525000000000
09.04.2009	495000000000
10.04.2009	540000000000
11.04.2009	635000000000
12.04.2009	685000000000
13.04.2009	580000000000
14.04.2009	620000000000
15.04.2009	565000000000
16.04.2009	615000000000
17.04.2009	560000000000
18.04.2009	648251000000
19.04.2009	635000000000
20.04.2009	1170000000000
21.04.2009	620000000000
22.04.2009	605000000000
23.04.2009	375000000000
24.04.2009	575000000000
25.04.2009	590000000000
26.04.2009	635000000000
27.04.2009	520000000000
28.04.2009	585000000000
29.04.2009	740000000000
30.04.2009	655000000000
01.05.2009	605000000000
02.05.2009	704994000000
03.05.2009	541000000000
04.05.2009	790000000000
05.05.2009	725000000000
06.05.2009	675000000000
07.05.2009	610000000000
08.05.2009	535000000000
09.05.2009	390000000000
10.05.2009	425000000000
11.05.2009	610000000000
12.05.2009	650000000000
13.05.2009	570001000000
14.05.2009	714999000000
15.05.2009	730000000000
16.05.2009	595000000000
17.05.2009	635000000000
18.05.2009	590000000000
19.05.2009	430000000000
20.05.2009	600000000000
21.05.2009	410000000000
22.05.2009	305000000000
23.05.2009	160000000000
24.05.2009	500000000000
25.05.2009	545000000000
26.05.2009	625000000000
27.05.2009	595000000000
28.05.2009	475000000000
29.05.2009	830000000000
30.05.2009	545000000000
31.05.2009	480000000000
01.06.2009	360000000000
02.06.2009	555000000000
03.06.2009	355000000000
04.06.2009	330000000000
05.06.2009	150000000000
06.06.2009	140000000000
07.06.2009	80000000000
08.06.2009	410000000000
09.06.2009	455000000000
10.06.2009	410000000000
11.06.2009	445000000000
12.06.2009	430000000000
13.06.2009	390000000000
14.06.2009	360000000000
15.06.2009	420000000000
16.06.2009	355000000000
17.06.2009	395000000000
18.06.2009	400000000000
19.06.2009	435000000000
20.06.2009	390000000000
21.06.2009	405000000000
22.06.2009	680000000000
23.06.2009	380000000000
24.06.2009	489898000000
25.06.2009	440000000000
26.06.2009	450000000000
27.06.2009	420000000000
28.06.2009	235000000000
29.06.2009	420000000000
30.06.2009	434500000000
01.07.2009	380000000000
02.07.2009	420000000000
03.07.2009	410000000000
04.07.2009	445000000000
05.07.2009	395000000000
06.07.2009	420000000000
07.07.2009	345000000000
08.07.2009	370000000000
09.07.2009	430000000000
10.07.2009	405000000000
11.07.2009	415000000000
12.07.2009	385000000000
13.07.2009	390000000000
14.07.2009	345000000000
15.07.2009	225000000000
16.07.2009	355000000000
17.07.2009	235000000000
18.07.2009	20000000000
19.07.2009	350000000000
20.07.2009	954967000000
21.07.2009	410000000000
22.07.2009	300000000000
23.07.2009	380000000000
24.07.2009	365000000000
25.07.2009	160000000000
26.07.2009	105000000000
27.07.2009	370000000000
28.07.2009	205000000000
29.07.2009	105000000000
30.07.2009	80000000000
31.07.2009	85000000000
01.08.2009	140000000000
02.08.2009	115000000000
03.08.2009	60000000000
04.08.2009	405000000000
05.08.2009	435000000000
06.08.2009	450000000000
07.08.2009	954953000000
08.08.2009	400000000000
09.08.2009	505000000000
10.08.2009	375000000000
11.08.2009	350000000000
12.08.2009	315000000000
13.08.2009	425000000000
14.08.2009	315000000000
15.08.2009	130000000000
16.08.2009	95000000000
17.08.2009	85000000000
18.08.2009	50000000000
19.08.2009	90000000000
20.08.2009	110000000000
21.08.2009	70000000000
22.08.2009	35000000000
23.08.2009	75000000000
24.08.2009	75000000000
25.08.2009	250000000000
26.08.2009	474806000000
27.08.2009	145000000000
28.08.2009	375000000000
29.08.2009	390000000000
30.08.2009	490000000000
31.08.2009	460000000000
01.09.2009	390000000000
02.09.2009	330000000000
03.09.2009	375000000000
04.09.2009	320000000000
05.09.2009	380000000000
06.09.2009	340000000000
07.09.2009	455000000000
08.09.2009	345000000000
09.09.2009	270000000000
10.09.2009	335000000000
11.09.2009	335000000000
12.09.2009	345000000000
13.09.2009	375000000000
14.09.2009	370000000000
15.09.2009	220000000000
16.09.2009	360100000000
17.09.2009	925000000000
18.09.2009	390000000000
19.09.2009	370000000000
20.09.2009	390000000000
21.09.2009	385000000000
22.09.2009	325000000000
23.09.2009	180000000000
24.09.2009	485000000000
25.09.2009	585000000000
26.09.2009	500000000000
27.09.2009	515000000000
